family,size_id,L,point_index,is_frozen_anchor,observer_id,reduced_coords,r_obs_LLSS,d_clone,d_clone_proper,d_clone_improper,nearest_coset,nearest_element_type,nearest_alpha_deg,nearest_theta_deg,n_candidates_d_lt_1,exclusion_witness_exists,geometric_status,observational_status,prior_weight,shape
E7,L1.50,1.5,10,False,10,[0.12860000000000002],"[0.465, 0.1929, 0.63]",1.5,1.5,1.5488194342788961,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.5, ""LAy"": 0.0, ""L1y"": 1.5, ""L2x"": 0.0, ""L2z"": 1.5}"
E7,L1.50,1.5,11,False,11,[0.1602],"[0.465, 0.2403, 0.63]",1.5,1.5,1.575111538907642,id,translation,,,0,False,no_nondegenerate_circles,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.5, ""LAy"": 0.0, ""L1y"": 1.5, ""L2x"": 0.0, ""L2z"": 1.5}"
E8,L1.00,1.0,0,True,0,"[0.21609142351830096, 0.1388778490467109]","[0.216091, 0.138878, 0.42]",1.0,1.0,1.0378575180743088,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 1.0, ""LCy"": 1.0}"
E8,L1.00,1.0,1,True,1,"[0.10991624390681737, 0.06676051199330066]","[0.109916, 0.066761, 0.42]",1.0,1.0,1.0088745530770566,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 1.0, ""LCy"": 1.0}"
E8,L1.00,1.0,2,True,2,"[0.4225612190131215, 0.125548183938205]","[0.422561, 0.125548, 0.42]",1.0,1.0,1.0310428632994486,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 1.0, ""LCy"": 1.0}"
E8,L1.00,1.0,3,False,3,"[0.030000000000000002, 0.23]","[0.03, 0.23, 0.42]",1.0,1.0,1.0017983829094554,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 1.0, ""LCy"": 1.0}"
E8,L1.00,1.0,4,False,4,"[0.3121, 0.02]","[0.3121, 0.02, 0.42]",1.0,1.0,1.0007996802557444,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 1.0, ""LCy"": 1.0}"
E8,L1.00,1.0,5,False,5,"[0.3256, 0.23]","[0.3256, 0.23, 0.42]",1.0,1.0,1.100727032465361,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 1.0, ""LCy"": 1.0}"
E8,L1.00,1.0,6,False,6,"[0.47000000000000003, 0.02]","[0.47, 0.02, 0.42]",1.0,1.0,1.0007996802557444,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 1.0, ""LCy"": 1.0}"
E8,L1.00,1.0,7,False,7,"[0.1454, 0.23]","[0.1454, 0.23, 0.42]",1.0,1.0,1.04142433234489,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 1.0, ""LCy"": 1.0}"
E8,L1.00,1.0,8,False,8,"[0.47000000000000003, 0.23]","[0.47, 0.23, 0.42]",1.0,1.0,1.100727032465361,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 1.0, ""LCy"": 1.0}"
E8,L1.00,1.0,9,False,9,"[0.2056, 0.02]","[0.2056, 0.02, 0.42]",1.0,1.0,1.0007996802557444,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 1.0, ""LCy"": 1.0}"
E8,L1.00,1.0,10,False,10,"[0.31880000000000003, 0.1236]","[0.3188, 0.1236, 0.42]",1.0,1.0,1.0301008882628924,id,translation,,,0,False,zero_radius_boundary,no_nondegenerate_circles,0.08333333333333333,"{""LAx"": 1.0, ""LAy"": 0.0, ""LBx"": 0.0, ""LBz"": 1.0, ""LCy"": 1.0}"
