family,shape,d_nearest,theta_nearest,g2_identity_ok,theta_ge_60,nearest_class,all_element_class,agree
E7,"{""LAx"": 1.0450788762878351, ""LAy"": 0.0, ""L1y"": 0.4136402593686825, ""L2x"": 0.5991105518882873, ""L2z"": 0.192517430958571}",0.4136402593686825,180.0,True,True,excluded,excluded,True
E7,"{""LAx"": 0.5780721431499611, ""LAy"": 0.0, ""L1y"": 0.44407478931409805, ""L2x"": -0.02733293488618216, ""L2z"": 0.3086274439631811}",0.3098354216301596,179.99999914622634,True,True,excluded,excluded,True
E7,"{""LAx"": 0.4900586156841551, ""LAy"": 0.0, ""L1y"": 0.8213313382478595, ""L2x"": -0.5417375078476236, ""L2z"": 0.6301282664390336}",0.4958935056178916,162.40389632689357,True,True,excluded,excluded,True
E7,"{""LAx"": 0.9245034477202447, ""LAy"": 0.0, ""L1y"": 0.31408010700751243, ""L2x"": 0.6149506380242149, ""L2z"": 0.929913488369563}",0.31408010700751243,180.0,True,True,excluded,excluded,True
E7,"{""LAx"": 0.976667637737485, ""LAy"": 0.0, ""L1y"": 0.9516180623101733, ""L2x"": 0.7378666640553084, ""L2z"": 0.2586100144548643}",0.36127040985925546,153.98648277474538,True,True,excluded,excluded,True
E7,"{""LAx"": 0.3744477259933675, ""LAy"": 0.0, ""L1y"": 0.9657436935887365, ""L2x"": -0.7709079082627266, ""L2z"": 0.7930317520611653}",0.6067475643760115,76.21505137208732,True,True,excluded,excluded,True
E7,"{""LAx"": 0.8612922880946381, ""LAy"": 0.0, ""L1y"": 1.1317478011727005, ""L2x"": -0.6434554563605936, ""L2z"": 0.4873158332456966}",0.6219302617017443,118.24717783134527,True,True,excluded,excluded,True
E7,"{""LAx"": 0.9837015656467902, ""LAy"": 0.0, ""L1y"": 0.6137130665778783, ""L2x"": -0.33372885933890706, ""L2z"": 0.2973704975218493}",0.4469945909650811,180.0,True,True,excluded,excluded,True
E2,"{""Lx"": 0.32017608161526384, ""Ly"": 0.8290137827635886, ""Lz"": 0.2703288499823351}",0.2941309186129261,133.58292192534512,True,True,excluded,excluded,True
E2,"{""Lx"": 0.7691866021958584, ""Ly"": 1.0336030352051304, ""Lz"": 0.6606074548091903}",0.7691866021958584,180.0,True,True,excluded,excluded,True
E2,"{""Lx"": 0.9082263877734431, ""Ly"": 1.2529821723207941, ""Lz"": 0.39754660074305537}",0.6425463113077217,76.44325316624206,True,True,excluded,excluded,True
E2,"{""Lx"": 0.9435026764354848, ""Ly"": 0.9694787182846032, ""Lz"": 0.7595718288564022}",0.8550763367405418,125.32298792240253,True,True,excluded,excluded,True
E2,"{""Lx"": 0.6412096877645894, ""Ly"": 0.4627568858480609, ""Lz"": 0.6153760838053571}",0.4627568858480609,180.0,True,True,excluded,excluded,True
E2,"{""Lx"": 0.853792160943275, ""Ly"": 1.2725555093109688, ""Lz"": 0.5007500674811889}",0.7411409447444944,85.00891360600343,True,True,excluded,excluded,True
E2,"{""Lx"": 1.159024593052353, ""Ly"": 1.085557273507275, ""Lz"": 0.6039027229734745}",0.781279997918467,101.24193553909183,True,True,excluded,excluded,True
E2,"{""Lx"": 0.8757702789221953, ""Ly"": 0.32673177416148963, ""Lz"": 1.2792808920510033}",0.32673177416148963,180.0,True,True,excluded,excluded,True
E2,"{""Lx"": 0.7925403622664906, ""Ly"": 0.453676515486051, ""Lz"": 1.0727364308879215}",0.453676515486051,180.0,True,True,excluded,excluded,True
E2,"{""Lx"": 1.1713925099253957, ""Ly"": 1.036505236153433, ""Lz"": 1.2813257242649772}",1.036505236153433,,True,True,no_circles,no_circles,True
E2,"{""Lx"": 0.5772718365351261, ""Ly"": 0.8536755147648969, ""Lz"": 0.6842364366688316}",0.5772718365351261,180.0,True,True,excluded,excluded,True
E2,"{""Lx"": 0.9383880726357099, ""Ly"": 0.5804954465728398, ""Lz"": 0.950059814019697}",0.5804954465728398,180.0,True,True,excluded,excluded,True
E2,"{""Lx"": 0.7676728025308548, ""Ly"": 0.6837244821157109, ""Lz"": 0.968762471354601}",0.6837244821157109,180.0,True,True,excluded,excluded,True
E2,"{""Lx"": 0.5721769484295078, ""Ly"": 0.6307869943107611, ""Lz"": 1.2975301159375463}",0.5721769484295078,180.0,True,True,excluded,excluded,True
E2,"{""Lx"": 0.6892849072310088, ""Ly"": 0.6381484472341257, ""Lz"": 1.2611057937357826}",0.6381484472341257,180.0,True,True,excluded,excluded,True
E2,"{""Lx"": 1.2370263682224036, ""Ly"": 1.2200384786214455, ""Lz"": 0.30802910747335643}",0.553799518867002,67.58826314366637,True,True,excluded,excluded,True
