sample,axis_3072,axis_1536,antipode_of_3072,same_plane,Sp_diff_axis_vs_antipode,S_min_3072,S_min_1536
fresh_315,30,30,3046,True,0.0,288.3973083496094,288.3973083496094
fresh_316,489,489,2569,True,0.0,372.2107849121094,372.2107849121094
fresh_317,164,164,2894,True,0.0,338.64886474609375,338.64886474609375
fresh_318,847,847,2223,True,0.0,413.61688232421875,413.61688232421875
fresh_319,129,129,2929,True,0.0,389.99835205078125,389.99835205078125
fresh_320,1391,1391,1679,True,0.0,416.3312683105469,416.3312683105469
fresh_321,1509,1509,1541,True,0.2413330078125,417.2104797363281,417.2104797363281
fresh_322,167,167,2897,True,0.0,504.49957275390625,504.49957275390625
fresh_323,688,688,2384,True,1.224395751953125,414.19921875,414.19921875
fresh_324,335,335,2757,True,0.0,400.3316345214844,400.3316345214844
fresh_325,268,268,2788,True,0.0,358.26025390625,358.26025390625
fresh_326,2072,1016,1016,True,0.1204833984375,420.93731689453125,421.05780029296875
fresh_327,52,52,3014,True,0.0,314.2677917480469,314.2677917480469
fresh_328,307,307,2779,True,0.0,325.88189697265625,325.88189697265625
fresh_329,72,72,2988,True,0.0,462.292724609375,462.292724609375
fresh_330,57,57,3019,True,0.0,345.7549743652344,345.7549743652344
fresh_331,1119,1119,1983,True,0.0,352.23980712890625,352.23980712890625
fresh_332,2,2,3068,True,0.0,308.877197265625,308.877197265625
fresh_333,588,588,2476,True,0.0,239.85968017578125,239.85968017578125
fresh_334,1470,1470,1630,True,0.0,437.52362060546875,437.52362060546875
fresh_335,132,132,2932,True,0.0,396.0797424316406,396.0797424316406
fresh_336,5,5,3065,True,0.0,491.21771240234375,491.21771240234375
fresh_337,414,414,2674,True,0.0,273.11285400390625,273.11285400390625
fresh_338,541,541,2557,True,0.0,386.70806884765625,386.70806884765625
fresh_339,126,126,2958,True,0.0,434.20477294921875,434.20477294921875
fresh_340,73,73,2989,True,0.0,240.5478973388672,240.5478973388672
fresh_341,1242,1242,1850,True,0.0,481.478515625,481.478515625
fresh_342,8,8,3060,True,0.0,353.4049072265625,353.4049072265625
fresh_343,406,406,2666,True,0.0,466.479248046875,466.479248046875
fresh_344,128,128,2928,True,0.0,314.4609680175781,314.4609680175781
fresh_345,72,72,2988,True,0.0,346.1545715332031,346.1545715332031
fresh_346,518,518,2534,True,0.0,373.39111328125,373.39111328125
fresh_347,41,41,3023,True,0.0,289.6671447753906,289.6671447753906
fresh_348,20,20,3050,True,0.0,283.52850341796875,283.52850341796875
fresh_349,240,240,2850,True,0.0,303.04718017578125,303.04718017578125
fresh_350,843,843,2219,True,0.0,696.8001098632812,696.8001098632812
fresh_351,39,39,3039,True,0.0,268.7772521972656,268.7772521972656
fresh_352,399,399,2659,True,0.0,370.1911315917969,370.1911315917969
fresh_353,40,40,3022,True,0.0,463.3196105957031,463.3196105957031
fresh_354,838,838,2214,True,0.0,286.9267272949219,286.9267272949219
fresh_355,811,811,2251,True,0.0,416.6800537109375,416.6800537109375
fresh_356,123,123,2955,True,0.0,386.4757385253906,386.4757385253906
fresh_357,916,916,2164,True,0.0,262.78851318359375,262.78851318359375
fresh_358,1357,1357,1709,True,0.0,393.7019348144531,393.7019348144531
fresh_359,392,392,2652,True,0.0,440.6325378417969,440.6325378417969
fresh_360,1109,1109,1973,True,0.0,414.142822265625,414.142822265625
fresh_361,127,127,2959,True,0.0,261.4146423339844,261.4146423339844
fresh_362,140,140,2940,True,0.0,411.6757507324219,411.6757507324219
fresh_363,479,479,2621,True,0.0,332.4918518066406,332.4918518066406
fresh_364,64,64,3004,True,0.0,425.9600830078125,425.9600830078125
fresh_365,1215,1215,1887,True,0.0,338.63385009765625,338.63385009765625
fresh_366,778,778,2282,True,0.14404296875,338.67559814453125,338.67559814453125
fresh_367,264,264,2784,True,0.0,285.40576171875,285.40576171875
fresh_368,1019,1019,2075,True,0.0,298.63848876953125,298.63848876953125
fresh_369,23,23,3053,True,0.0,278.2830810546875,278.2830810546875
fresh_370,161,161,2927,True,0.0,374.4670104980469,374.4670104980469
fresh_371,1380,1380,1668,True,0.0,428.99072265625,428.99072265625
fresh_372,11,11,3063,True,0.0,379.5118408203125,379.5118408203125
fresh_373,1131,1131,1931,True,0.0,368.356689453125,368.356689453125
fresh_374,125,125,2957,True,0.0,338.9609680175781,338.9609680175781
fresh_375,298,298,2770,True,0.0,356.64752197265625,356.64752197265625
fresh_376,710,710,2342,True,0.0,485.7392578125,485.7392578125
